,name,institution
426,Foundations for Big Data Analysis with SQL,Cloudera
427,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney
428,Perfect Tenses and Modals,"University of California, Irvine"
429,Getting Started with Azure,LearnQuest
430,Moralities of Everyday Life,Yale University
431,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas
432,Understanding child development: from synapse to society,Utrecht University
433,Introduction to G Suite,Google Cloud
434,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego
435,Building Batch Data Pipelines on GCP,Google Cloud
436,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign
437,Quantitative Methods,University of Amsterdam
438,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester
439,The Technology of Music Production,Berklee College of Music
440,Code Yourself! An Introduction to Programming,The University of Edinburgh
441,Success,University of Pennsylvania
442,Chemicals and Health,Johns Hopkins University
443,Improving your statistical inferences,Eindhoven University of Technology
444,Fundamentals of Finance,University of Pennsylvania
445,How Google does Machine Learning,Google Cloud
446,Object-Oriented Design,University of Alberta
447,Introduction to Intellectual Property,University of Pennsylvania
448,Cost and Economics in Pricing Strategy,BCG
449,Write A Feature Length Screenplay For Film Or Television,Michigan State University
450,Marketing Gerencial,Universidad de Chile
451,Corporate Finance Essentials,IESE Business School
452,Information Security: Context and Introduction,"Royal Holloway, University of London"
453,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University
454,Introduction to CSS3,University of Michigan
455,Applied Data Science Capstone,IBM
456,Introduction aux Droits de l’Homme,University of Geneva
457,"Programming Languages, Part A",University of Washington
458,Big History: Connecting Knowledge,Macquarie University
459,Leadership in 21st Century Organizations,Copenhagen Business School
460,Software Processes and Agile Practices,University of Alberta
461,DevOps Culture and Mindset,"University of California, Davis"
462,Introduction to Statistics & Data Analysis in Public Health,Imperial College London
463,Discrete Optimization,The University of Melbourne
464,Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology
465,COVID-19 Contact Tracing For Nursing Professionals,University of Houston
466,High Stakes Leadership: Leading in Times of Crisis,University of Michigan
467,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University
468,Epigenetic Control of Gene Expression,The University of Melbourne
469,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota
470,AWS Fundamentals: Addressing Security Risk,Amazon Web Services
471,Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania
472,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town
473,Spanish for Successful Communication in Healthcare Settings,Rice University
474,Leading transformations: Manage change,Macquarie University
475,Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales)
476,Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign
477,Data Visualization and Communication with Tableau,Duke University
478,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz"
479,Human Rights for Open Societies,Utrecht University
480,Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology
481,The Introduction to Quantum Computing,Saint Petersburg State University
482,Intercultural Management,ESCP Business School
483,Get Interactive: Practical Teaching with Technology,University of London
484,International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden
485,Global Financial Markets and Instruments,Rice University
486,Write Your First Novel,Michigan State University
487,Développement psychologique de l'enfant,University of Geneva
488,Songwriting: Writing the Lyrics,Berklee College of Music
489,"Applied Plotting, Charting & Data Representation in Python",University of Michigan
490,Systems Thinking In Public Health,Johns Hopkins University
491,Excel Skills for Business: Advanced,Macquarie University
492,Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics
493,Community Organizing for Social Justice,University of Michigan
494,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem
495,The Global Financial Crisis,Yale University
496,Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund
497,Renewable Energy and Green Building Entrepreneurship,Duke University
